entry_time,exit_time,direction,entry,exit,stop,target,atr_at_entry,size,p_l,r_multiple,bars_held,exit_reason,ema50,ema200,rsi,macd,signal
2024-01-01 20:19:00,2024-01-01 20:22:00,sell,1.10429,1.10403,1.10447,1.10403,0.00012,677318.8823,175.00,1.40,4,target,1.10387,1.10390,70.91,0.000090,0.000084
2024-01-02 15:09:00,2024-01-02 15:09:00,sell,1.09483,1.09500,1.09500,1.09459,0.00012,726668.1988,-125.88,-1.00,1,stop,1.09469,1.09515,72.32,-0.000002,-0.000020
2024-01-03 19:55:00,2024-01-03 19:55:00,buy,1.09196,1.09213,1.09184,1.09213,0.00008,1032230.7768,175.34,1.40,1,target,1.09232,1.09224,17.34,-0.000091,-0.000079
2024-01-04 10:54:00,2024-01-04 11:11:00,buy,1.09566,1.09619,1.09566,1.09619,0.00025,330462.6469,176.57,534315402.25,18,target,1.09581,1.09505,29.82,-0.000026,0.000043
2024-01-04 13:47:00,2024-01-04 13:50:00,buy,1.09472,1.09499,1.09453,1.09499,0.00013,658498.0497,177.81,1.40,4,target,1.09511,1.09503,32.82,-0.000090,-0.000085
2024-01-05 13:15:00,2024-01-05 13:16:00,buy,1.09400,1.09372,1.09372,1.09440,0.00019,450799.9240,-127.89,-1.00,2,stop,1.09618,1.09524,22.07,-0.001020,-0.001053
2024-01-05 14:40:00,2024-01-05 14:40:00,buy,1.09513,1.09489,1.09489,1.09546,0.00016,535438.0526,-127.25,-1.00,1,stop,1.09538,1.09521,29.77,-0.000041,-0.000013
2024-01-08 14:11:00,2024-01-08 14:34:00,sell,1.09585,1.09609,1.09609,1.09552,0.00016,534662.6019,-126.62,-1.00,24,stop,1.09559,1.09571,70.76,0.000034,0.000006
2024-01-08 20:40:00,2024-01-08 20:46:00,buy,1.09521,1.09542,1.09506,1.09542,0.00010,839486.7517,176.38,1.40,7,target,1.09544,1.09540,31.27,-0.000044,-0.000036
2024-01-09 07:10:00,2024-01-09 07:18:00,sell,1.09324,1.09340,1.09340,1.09302,0.00011,796754.0384,-126.87,-1.00,9,stop,1.09322,1.09428,73.39,-0.000008,-0.000034
2024-01-09 08:10:00,2024-01-09 08:10:00,sell,1.09397,1.09427,1.09427,1.09356,0.00020,426775.2749,-126.23,-1.00,1,stop,1.09365,1.09404,67.05,0.000071,0.000081
2024-01-09 15:22:00,2024-01-09 15:27:00,sell,1.09292,1.09269,1.09309,1.09269,0.00011,753036.2461,175.84,1.40,6,target,1.09256,1.09287,67.21,0.000103,0.000114
2024-01-09 18:01:00,2024-01-09 18:05:00,sell,1.09303,1.09317,1.09317,1.09284,0.00009,916332.1238,-126.48,-1.00,5,stop,1.09287,1.09289,76.39,0.000010,0.000003
2024-01-10 08:01:00,2024-01-10 08:06:00,buy,1.09422,1.09455,1.09399,1.09455,0.00016,537462.8727,176.19,1.40,6,target,1.09456,1.09418,27.70,-0.000070,-0.000061
2024-01-12 13:10:00,2024-01-12 13:16:00,buy,1.09533,1.09565,1.09510,1.09565,0.00015,559070.0505,177.42,1.40,7,target,1.09658,1.09663,32.03,-0.000525,-0.000535
2024-01-16 14:35:00,2024-01-16 14:40:00,sell,1.08709,1.08685,1.08726,1.08685,0.00011,743791.8006,178.66,1.40,6,target,1.08699,1.08749,68.28,0.000016,0.000005
2024-01-17 07:40:00,2024-01-17 07:47:00,buy,1.08721,1.08701,1.08701,1.08749,0.00013,651450.2495,-128.51,-1.00,8,stop,1.08764,1.08761,30.13,-0.000108,-0.000095
2024-01-18 09:11:00,2024-01-18 09:12:00,sell,1.08626,1.08666,1.08666,1.08570,0.00027,318777.6911,-127.87,-1.00,2,stop,1.08618,1.08749,68.30,-0.000046,-0.000143
2024-01-18 13:25:00,2024-01-18 13:39:00,sell,1.08590,1.08617,1.08617,1.08552,0.00018,468926.4332,-127.23,-1.00,15,stop,1.08570,1.08625,68.99,0.000017,-0.000024
2024-01-18 14:05:00,2024-01-18 14:08:00,sell,1.08654,1.08672,1.08672,1.08628,0.00012,694845.5927,-126.59,-1.00,4,stop,1.08611,1.08627,68.00,0.000129,0.000143
2024-01-18 18:00:00,2024-01-18 18:00:00,buy,1.08724,1.08759,1.08699,1.08759,0.00017,499200.5560,176.34,1.40,1,target,1.08743,1.08712,32.37,-0.000019,-0.000002
2024-01-18 19:52:00,2024-01-18 19:53:00,buy,1.08785,1.08801,1.08773,1.08801,0.00008,1081966.3675,177.58,1.40,2,target,1.08793,1.08762,30.45,-0.000011,0.000005
2024-01-22 08:11:00,2024-01-22 08:11:00,buy,1.08890,1.08867,1.08867,1.08922,0.00015,563129.3728,-127.73,-1.00,1,stop,1.08925,1.08919,27.14,-0.000097,-0.000079
2024-01-23 14:30:00,2024-01-23 14:32:00,sell,1.08405,1.08417,1.08417,1.08388,0.00008,1062165.6493,-127.09,-1.00,3,stop,1.08377,1.08436,81.26,0.000065,0.000051
2024-01-24 20:52:00,2024-01-24 20:57:00,sell,1.08763,1.08775,1.08775,1.08746,0.00008,1044293.5352,-126.45,-1.00,6,stop,1.08744,1.08776,67.56,0.000069,0.000072
2024-01-25 15:04:00,2024-01-25 15:06:00,sell,1.08376,1.08351,1.08394,1.08351,0.00012,702522.8701,176.15,1.40,3,target,1.08332,1.08408,67.85,0.000152,0.000156
